"gene","value_1","value_2"
"PDH-E1 ALPHA","55.2158","33.7476"
"AT1G01100","274.644","191.684"
"KCS1","15.5951","7.67486"
"AT1G01170","71.3409","20.626"
"AT1G01320","4.94108","20.8581"
"ATGPAT4","14.3859","5.25155"
"PIP1","177.996","80.0485"
"KEA1","2.6907","13.432"
"VAD1","11.354","23.9064"
"MEE63","105.379","64.9252"
"MAT1","71.7334","32.6836"
"BGLU11","4.86654","15.6375"
"AT1G02890","3.1091","8.94593"
"ATGSTF6","6.78411","32.4589"
"PSAD-2","269.799","156.37"
"AT1G03220","44.8303","20.107"
"ATHM1","133.491","90.3858"
"FLA9","46.9941","20.4298"
"ATNAP4","31.7517","13.4784"
"AT1G03910","2.5539","13.1301"
"AXR3","41.4037","17.5553"
"RPS15","224.233","111.263"
"AT1G04350","5.93733","23.0604"
"ATCRY2","7.93818","22.2284"
"AT1G04410","213.433","151.121"
"AT1G04800","216.117","147.092"
"TUA4","71.0675","36.5188"
"emb2394","128.178","72.3667"
"AT1G05270","5.62749","19.1242"
"ATGSL06","2.04642","6.92013"
"ATCTL1","153.929","94.3369"
"AT1G06010","6.36814","0"
"STO","42.3305","17.66"
"ATTPS7","10.3593","20.1244"
"AT1G06630","0","5.97503"
"PSBP-1","1147.18","749.283"
"TIC110","6.04421","17.7667"
"AT1G07080","30.06","7.70443"
"F2KP","5.35377","14.7832"
"RPL4","212.663","131.992"
"AT1G07590","481.775","406.723"
"MT1C","282.132","483.183"
"RPS15A","276.079","118.435"
"AT1G07820","54.2535","17.539"
"AT1G07920","40.3374","23.4486"
"AT1G07930","63.2981","34.7866"
"AT1G07940","36.5828","18.6357"
"AT1G08115","69356.9","35043.5"
"PSAO","2205.44","1116.77"
"PDE166","13.7435","32.4993"
"SIGB","5.86284","17.9535"
"NPQ1","4.69216","16.1434"
"CSD1","166.892","94.4657"
"ERD6","23.1975","11.9913"
"(AT)SRC2","46.1466","22.1444"
"PHYA","6.06884","11.0262"
"AT1G09640","70.1211","31.3445"
"AT1G09690","139.084","92.9115"
"AT1G09750","43.3225","26.2102"
"ATCDC5","3.07562","9.97358"
"ADL6","2.13881","7.11889"
"AT1G10657","5.29182","0"
"AT1G10682","106.126","33.4957"
"GWD","2.38365","14.836"
"ATFD1","233.897","116.652"
"XTH8","25.7403","7.27883"
"ATRBP45B","82.4142","57.1358"
"CYP51G1","37.2833","18.0558"
"AT1G11850","86.7371","38.3251"
"AT1G11860","164.257","220.06"
"AT1G11930","9.38632","29.9471"
"ELP","287.856","149.733"
"CHL1-1","80.2564","48.6275"
"AT1G12440","40.792","10.7454"
"AT1G12672","0","7.61551"
"AT1G12800","2.85468","19.6629"
"GAPA-2","330.624","231.719"
"PP2AA3","12.5407","21.9375"
"AT1G13360","35.7235","8.03932"
"GAPC-2","479.516","300.711"
"AT1G13930","403.889","243.317"
"AT1G13990","4.1206","20.4361"
"AT1G14300","4.45513","0"
"SAC52","280.528","162.823"
"UBC1","59.5893","27.2079"
"AT1G14450","194.371","100.628"
"VALRS","1.89493","8.88025"
