test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
AT1G01010,AT1G01010,ANAC001,1:3630-5899,control,hy5,NOTEST,0,1.49424,inf,0,1,1,no
AT1G01020,AT1G01020,ARV1,1:5927-8737,control,hy5,OK,7.28863,10.7161,0.55606,0.692153,0.3293,0.483228,no
AT1G01030,AT1G01030,NGA3,1:11648-13714,control,hy5,NOTEST,1.18735,1.09985,-0.110435,0,1,1,no
AT1G01040,AT1G01040,DCL1,1:23145-33153,control,hy5,NOTEST,0.239714,2.24302,3.22606,0,1,1,no
AT1G01046,AT1G01046,MIR838A,1:23145-33153,control,hy5,NOTEST,0,0,0,0,1,1,no
AT1G01050,AT1G01050,AtPPa1,1:23145-33153,control,hy5,OK,9.03829,23.4385,1.37476,2.31393,0.01135,0.0621353,no
AT1G01060,"AT1G01060,CUFF",LHY,1:33378-37871,control,hy5,OK,4.04026,6.47638,0.68074,0.840952,0.10945,0.256143,no
AT1G01070,AT1G01070,AT1G01070,1:38751-40944,control,hy5,NOTEST,1.24831,2.39688,0.941189,0,1,1,no
AT1G01073,AT1G01073,AT1G01073,1:44676-44787,control,hy5,NOTEST,0,0,0,0,1,1,no
AT1G01080,AT1G01080,AT1G01080,1:45295-47019,control,hy5,OK,13.8245,23.7952,0.78344,1.40082,0.0502,0.158701,no
AT1G01090,AT1G01090,PDH-E1 ALPHA,1:47484-49286,control,hy5,OK,55.2158,33.7476,-0.710296,-3.00108,0.0004,0.00435677,yes
AT1G01100,"AT1G01100,CUFF",AT1G01100,1:50074-51199,control,hy5,OK,274.644,191.684,-0.518832,-2.22398,0.00255,0.0204122,yes
AT1G01110,AT1G01110,IQD18,1:52238-54692,control,hy5,NOTEST,0.822288,2.28787,1.47629,0,1,1,no
AT1G01115,AT1G01115,AT1G01115,1:56623-56740,control,hy5,NOTEST,0,0,0,0,1,1,no
AT1G01120,AT1G01120,KCS1,1:57268-59167,control,hy5,OK,15.5951,7.67486,-1.02288,-2.29284,0.00725,0.0455644,yes
AT1G01130,AT1G01130,AT1G01130,1:61904-63811,control,hy5,NOTEST,0,0,0,0,1,1,no
AT1G01140,AT1G01140,CIPK9,1:64165-67625,control,hy5,OK,3.16726,9.45892,1.57844,1.62043,0.0526,0.16342,no
